Category,Line Item,Unit,Current Model Qty,Current Unit Cost (AUD),Current Total (AUD),SDK Model Qty,SDK Unit Cost (AUD),SDK Total (AUD),Notes,Source
,,,,,,,,,,
HEADER,VELOCITY TIER - 2250 LEADS/MONTH,,,,,,,,All costs AUD - Worst Case Conservative,
,,,,,,,,,,
DATA ENRICHMENT,Hunter.io (Cold/Cool 65%),per lead,1463,0.036,52.65,1463,0.036,52.65,Tier 1 waterfall - $0.023 USD × 1.55,https://hunter.io/pricing
DATA ENRICHMENT,Clay Waterfall (Warm 25%),per lead,563,0.39,219.38,563,0.39,219.38,8 credits × $0.077/credit worst case,https://www.clay.com/pricing
DATA ENRICHMENT,Clay Waterfall (Hot 10%),per lead,225,0.77,173.25,225,0.77,173.25,15 credits × $0.077/credit worst case,https://www.clay.com/pricing
DATA ENRICHMENT,Apollo Fallback (10% of leads),per lead,225,0.31,69.75,225,0.31,69.75,$0.20 USD × 1.55 - mobile numbers,https://docs.apollo.io/docs/api-pricing
DATA ENRICHMENT,Apify LinkedIn Scrape,per 1000 profiles,2.25,4.65,10.46,2.25,4.65,10.46,$3 USD per 1000 × 1.55,https://apify.com/supreme_coder/linkedin-profile-scraper
DATA ENRICHMENT,SUBTOTAL,,,,"525.50",,,,"525.50",,
,,,,,,,,,,
SDK BRAIN - ENRICHMENT,Claude API - Hot Lead Deep Research (15% cap),per lead,0,0,0,338,1.21,408.58,"$0.78 USD × 1.55 - 2000 tokens in, 3000 out avg",https://www.anthropic.com/pricing
SDK BRAIN - ENRICHMENT,SUBTOTAL,,,,0,,,408.58,,
,,,,,,,,,,
EMAIL INFRASTRUCTURE,Salesforge Pro Plan,per month,1,74.40,74.40,1,74.40,74.40,$48 USD × 1.55,https://www.salesforge.ai/pricing
EMAIL INFRASTRUCTURE,Mailforge Mailboxes (5 mailboxes),per mailbox,5,6.20,31.00,5,6.20,31.00,$4 USD × 1.55 worst case,https://www.mailforge.ai/pricing
EMAIL INFRASTRUCTURE,Warmforge Warmup (5 mailboxes),per mailbox,5,18.60,93.00,5,18.60,93.00,$12 USD × 1.55 worst case,https://www.salesforge.ai/directory/sales-tools/warmforge
EMAIL INFRASTRUCTURE,Domain Costs (5 domains),per domain,5,2.00,10.00,5,2.00,10.00,Approx domain cost,Estimate
EMAIL INFRASTRUCTURE,SUBTOTAL,,,,"208.40",,,,"208.40",,
,,,,,,,,,,
SDK BRAIN - EMAIL,Claude API - Email Writing (Hot leads),per email,0,0,0,338,0.25,84.38,"$0.16 USD × 1.55 - personalized emails for hot",https://www.anthropic.com/pricing
SDK BRAIN - EMAIL,Claude API - Response Classification,per reply,0,0,0,169,0.12,20.81,"$0.08 USD × 1.55 - 7.5% reply rate on 2250",https://www.anthropic.com/pricing
SDK BRAIN - EMAIL,Claude API - Objection Handling,per objection,0,0,0,51,0.25,12.66,"$0.16 USD × 1.55 - 30% of replies are objections",https://www.anthropic.com/pricing
SDK BRAIN - EMAIL,SUBTOTAL,,,,0,,,117.85,,
,,,,,,,,,,
LINKEDIN AUTOMATION,Unipile Base Plan (up to 10 accounts),per month,1,83.79,83.79,1,83.79,83.79,€49 × 1.71 AUD/EUR,https://www.unipile.com/pricing-api/
LINKEDIN AUTOMATION,Unipile Additional Accounts (if >10),per account,0,8.55,0,0,8.55,0,€5 × 1.71 - not needed for 3 accounts,https://www.unipile.com/pricing-api/
LINKEDIN AUTOMATION,SUBTOTAL,,,,"83.79",,,,"83.79",,
,,,,,,,,,,
SMS (HOT LEADS ONLY - ALS 85+),ClickSend SMS Australia,per message,338,0.072,24.34,338,0.072,24.34,Hot leads capped at 15% = 338,https://www.clicksend.com/au/pricing/au/
SMS (HOT LEADS ONLY - ALS 85+),DNCR Compliance Check,per check,338,0.01,3.38,338,0.01,3.38,Estimate for DNCR API,Estimate
SMS (HOT LEADS ONLY - ALS 85+),SUBTOTAL,,,,"27.72",,,,"27.72",,
,,,,,,,,,,
VOICE AI (WARM + HOT - ALS 60+),Vapi Platform Fee,per minute,844,0.08,67.52,844,0.08,67.52,$0.05 USD × 1.55,https://vapi.ai/pricing
