company_name,website,location,estimated_size,decision_maker_name,linkedin_url,notes
Thinkerbell,https://thinkerbell.com,Melbourne VIC,50-100,Adam Ferrier (Co-founder),https://www.linkedin.com/company/thinkerbell/,Award-winning creative agency - "Measured Magic"
Special Group,https://au.specialgroup.com,Sydney NSW,50-100,Lindsey Evans (Co-founder),https://www.linkedin.com/company/specialgroup/,Independent creative network - Uber Eats & Bonds campaigns
Connecting Plots,https://connectingplotsgroup.com,Sydney NSW,20-50,Founder/MD,https://www.linkedin.com/company/connecting-plots/,Omnichannel creative agency
BMF,https://bmf.com.au,Sydney NSW,155+,Georgia Suttie (New Business Director),https://www.linkedin.com/company/bmf-advertising/,Most effective creative agency in Australia
TBWA Australia,https://www.tbwa.com.au,Sydney NSW,100+,Global Network,https://www.linkedin.com/company/tbwa-australia/,The Disruption Company - NAB campaigns
Frank Digital,https://www.frankdigital.com.au,Sydney/Melbourne,20-50,Founder,https://www.linkedin.com/company/frank-digital/,Digital product & UX design studio
Cocogun,https://cocogun.com.au,Sydney NSW,10-20,Chiquita King (CK) & Ant Melder (Co-founders),https://www.linkedin.com/company/cocogun/,B Corp certified creative agency - founded 2019
Leo Burnett Australia,https://www.leoburnett.com.au,Sydney/Melbourne,100+,Clare Pickens (CEO),https://www.linkedin.com/company/leo-burnett-australia/,HumanKind creativity - Suncorp & Bundaberg Rum
Sod Digital,https://sod.au,Melbourne VIC,15-30,Founder,https://www.linkedin.com/company/sod-digital/,Full-service digital agency - 2025 Web Awards Best in Show
LCC Group,https://www.lccgroup.com.au,Brisbane QLD,10-20,Founder,https://www.linkedin.com/company/lcc-group/,Strategic brand consultancy
Agent99 PR,https://agent99pr.com,Sydney NSW,10-20,Founder,https://www.linkedin.com/company/agent-99-pr/,PR & communications - consumer & corporate
303 MullenLowe,https://303.com.au,Sydney NSW,50-100,Managing Director,https://www.linkedin.com/company/303-mullenlowe/,Creative advertising agency
Havas Australia,https://aus.havas.com,Sydney/Melbourne,100+,Country CEO,https://www.linkedin.com/company/havas-australia/,Global network - Meaningful Brands framework
Innocean Australia,https://www.innocean.com.au,Sydney NSW,30-50,Managing Director,https://www.linkedin.com/company/innocean-australia/,Fearless Creativity - Hyundai & Kia
Ogilvy Australia,https://www.ogilvy.com.au,Sydney/Melbourne,100+,Country CEO,https://www.linkedin.com/company/ogilvy-australia/,#1 Most Effective Network - WARC Rankings
Akcelo,https://akcelo.com,Sydney NSW,50-100,Founder,https://www.linkedin.com/company/akcelo/,Brand experience agency - events & experiential
Rare (RareMedia),https://www.rare.com.au,Melbourne VIC,10-20,Andrew Davidson (Founder/Director),https://www.linkedin.com/company/rare-media/,Digital agency established 1996
McCann Australia,https://mccann.com.au,Sydney NSW,100+,Managing Director,https://www.linkedin.com/company/mccann-australia/,Global creative network
Clemenger BBDO,https://clemengerbbdo.com,Melbourne/Sydney,200+,Regional CEO,https://www.linkedin.com/company/clemenger-bbdo/,John West campaigns - Major network agency
Wieden+Kennedy Sydney,https://www.wk.com,Sydney NSW,30-50,Managing Director,https://www.linkedin.com/company/wiedenkennedy/,Global creative agency - 150 William Street Woolloomooloo
Sunny Advertising,https://sunnyco.com.au,Brisbane QLD,15-30,Founder,https://www.linkedin.com/company/sunny-advertising/,Brisbane Heat partnership
Ardent Agency,https://ardent.com.au,Sydney NSW,15-30,Founder,https://www.linkedin.com/company/ardent-agency/,Whiddon "More To Me" campaign
Be Frank Group,https://befrankgroup.com.au,Sydney NSW,10-20,Founder,https://www.linkedin.com/company/be-frank-group/,Ella Bache campaigns
Five By Five Global,https://fivebyfive.global,Sydney NSW,20-40,Managing Director,https://www.linkedin.com/company/five-by-five-global/,SLSA National Day campaign
GAME Creative,https://gamecreative.com.au,Sydney NSW,15-30,Founder,https://www.linkedin.com/company/game-creative/,Mirvac 54-year first major campaign
Shannon Behaviour Change,https://shannonbc.com.au,Sydney NSW,10-20,Founder,https://www.linkedin.com/company/shannon-behaviour-change/,CBUS Super "Build Your Something"
Hive Creative,https://hivecreative.com.au,Sydney NSW,20-40,Founder,https://www.linkedin.com/company/hive-creative-marketing/,Australian Made $20M campaign
T&P Australia,https://tp-agency.com,Sydney NSW,30-50,Managing Director,https://www.linkedin.com/company/tp-australia/,MasterFoods "Big Yum" campaign
Carat Australia,https://carat.com.au,Sydney/Melbourne,100+,CEO,https://www.linkedin.com/company/carat-australia/,Media agency - Journey Beyond
Smith & Western,https://smithandwestern.com.au,Sydney NSW,10-15,Founder,https://www.linkedin.com/company/smith-western/,Sonic branding - Clio Award winner
Élysée Collective,https://elyseecollective.com.au,Sydney NSW,10-20,Founder,https://www.linkedin.com/company/elysee-collective/,Luxury travel PR agency
OK COOL,https://okcool.com.au,Sydney NSW,10-20,Founder,https://www.linkedin.com/company/ok-cool-agency/,Strategic & social creative agency
Kill Boring Dead,https://killboringdead.com.au,Sydney NSW,10-15,Founder,https://www.linkedin.com/company/kill-boring-dead/,Red Rooster social agency partner
Bonfire Perth,https://bonfire.com.au,Perth WA,15-30,Founder,https://www.linkedin.com/company/bonfire-perth/,Luma "We Hear You" campaign
Ryvalmedia,https://ryvalmedia.com.au,Brisbane/Sydney,30-50,Managing Director,https://www.linkedin.com/company/ryvalmedia/,Independent media agency
2045 Agency,https://2045.com.au,Sydney NSW,10-20,Founder,https://www.linkedin.com/company/2045-agency/,Bupa Paralympic campaign
Droga5 ANZ,https://droga5.com,Sydney NSW,50-100,Managing Director,https://www.linkedin.com/company/droga5/,Accenture Song - Youthline campaign
iStories,https://istories.com.au,Sydney NSW,5-15,Founder,https://www.linkedin.com/company/istories/,Strategic comms - launched AI-Stories
Springboards,https://springboards.com.au,Sydney NSW,10-20,Founder,https://www.linkedin.com/company/springboards/,Creative tools & AI advertising
BYRDLI,https://byrdli.com,Sydney NSW,10-20,Founder,https://www.linkedin.com/company/byrdli/,Travel-tech platform - Travel Portland
Atmos Studios,https://atmosstudios.com.au,Melbourne VIC,10-20,Founder,https://www.linkedin.com/company/atmos-studios/,Arnold Thomas & Becker "The System"
INVNT,https://invnt.com,Sydney NSW,30-50,Managing Director,https://www.linkedin.com/company/invnt/,AANA RESET 2026 experiential partner
Molasses,https://molasses.com.au,Sydney NSW,10-20,Founder,https://www.linkedin.com/company/molasses-design/,Brand design agency
Tightknit Studio,https://tightknitstudio.com,Sydney NSW,10-20,Dom Fitzgerald (Head of Insights),https://www.linkedin.com/company/tightknit-studio/,Commercial marketing capability
CampaignLab,https://campaignlab.com.au,Sydney NSW,15-30,Founder,https://www.linkedin.com/company/campaignlab/,AFC Women's Asian Cup partner
The Media Store,https://themediastore.com.au,Sydney NSW,20-40,Jacquie Alley (COO),https://www.linkedin.com/company/the-media-store/,Indie Legend Gold winner
Thrive Business Counselling,https://thrivebusiness.com.au,Sydney NSW,5-10,Zeynep Roberts & Chris Christofi (Founders),https://www.linkedin.com/company/thrive-business-counselling/,Strategy & marketing professionals
Saatchi & Saatchi Australia,https://saatchi.com.au,Sydney NSW,100+,James Cowie (ECD),https://www.linkedin.com/company/saatchi-saatchi-australia/,Toyota campaigns - Global network
DDB Australia,https://ddb.com.au,Sydney NSW,100+,Managing Director,https://www.linkedin.com/company/ddb-australia/,Part of Omnicom network
The Tuesday Club,https://thetuesdayclub.com.au,Sydney NSW,10-20,Founder,https://www.linkedin.com/company/the-tuesday-club/,Westpac "Double You" campaign
Bear Meets Eagle On Fire,https://bmeof.com,Sydney NSW,15-30,Founder,https://www.linkedin.com/company/bear-meets-eagle-on-fire/,Telstra campaigns with +61
+61 Agency,https://plus61.com.au,Sydney NSW,30-50,Founder,https://www.linkedin.com/company/plus61-agency/,Telstra End of Summer Sale
EXIT Films,https://exitfilms.com,Melbourne VIC,20-40,Founder,https://www.linkedin.com/company/exit-films/,Production company - Conor Mercury director
Residence Network,https://residencenetwork.com,Sydney NSW,20-40,Founder,https://www.linkedin.com/company/residence-network/,Creative companies network - acquired OK COOL
